id,unit_name,gender,race,appointed_date,resigned_time
9,008,M,White,1965,1984
9,008,M,White,1952,1980
9,008,M,White,1946,1980
9,008,M,White,1953,1985
9,008,M,Black,1992,2013
9,008,M,White,2000,2011
9,008,F,White,1986,2011
9,008,M,White,1971,2005
9,008,M,White,1951,1988
9,008,F,White,1970,2001
9,008,M,White,1985,2014
9,008,M,White,1986,2016
9,008,M,White,1973,2001
9,008,M,Black,1968,1999
9,008,M,White,1951,1989
9,008,M,White,1948,1984
9,008,M,White,1986,2012
9,008,M,White,1956,1981
9,008,M,White,1976,2012
9,008,M,White,1981,2010
9,008,M,White,1973,2010
9,008,M,White,1973,2006
9,008,M,White,1976,2005
9,008,F,White,1978,2007
9,008,M,White,1959,1991
9,008,M,White,1957,1982
9,008,M,White,1971,2006
9,008,F,White,1982,2012
9,008,M,Hispanic,1987,2012
9,008,M,White,1976,2012
9,008,M,White,1996,2005
9,008,M,Black,2005,2007
9,008,M,White,1957,1981
9,008,M,White,1956,1988
9,008,M,White,1966,1991
9,008,M,White,1980,2008
9,008,M,Asian/Pacific,1994,2012
9,008,M,White,1962,1993
9,008,M,Black,1986,1989
9,008,M,White,1968,1992
9,008,M,White,1995,2006
9,008,F,White,1985,2014
9,008,M,White,1994,2017
9,008,M,White,1966,1987
9,008,M,Hispanic,1972,2005
9,008,M,White,1969,2008
9,008,M,White,1973,2011
9,008,M,White,1963,1995
9,008,M,White,1967,1998
9,008,F,Hispanic,1994,2008
9,008,M,White,2005,2013
9,008,M,Hispanic,1985,2012
9,008,M,White,1992,2012
9,008,M,White,1986,1998
9,008,M,White,1966,2001
9,008,F,Black,1988,2014
9,008,F,Black,1980,2005
9,008,M,White,1957,1987
9,008,M,White,1991,2016
9,008,M,White,1993,2012
9,008,M,White,1988,2008
9,008,M,White,1966,1982
9,008,M,White,1962,1989
9,008,M,White,1966,1991
9,008,M,White,1970,1999
9,008,M,White,1968,2002
9,008,M,Hispanic,1995,2004
9,008,M,Hispanic,1998,2015
9,008,M,White,1966,2008
9,008,M,White,2000,2008
9,008,F,White,1986,2008
9,008,F,White,1977,2005
9,008,M,White,1971,2004
9,008,F,White,1991,2013
9,008,M,White,1991,2015
9,008,M,White,1998,2016
