id,unit_name,gender,race,appointed_date,resigned_time
7,006,M,Black,1956,1980
7,006,M,White,1959,1992
7,006,M,White,1954,1980
7,006,M,Black,1956,1980
7,006,M,White,1995,2012
7,006,F,Black,2001,2008
7,006,M,Black,1986,2012
7,006,M,Black,1983,2011
7,006,M,Black,1985,2014
7,006,M,Black,1991,2010
7,006,M,Black,1957,1987
7,006,M,Black,1986,2016
7,006,M,Black,1981,2015
7,006,M,Black,1970,1992
7,006,M,Black,1961,1989
7,006,M,Black,1961,1992
7,006,M,Black,1966,1996
7,006,M,White,1952,1987
7,006,M,White,1970,2003
7,006,M,White,1990,2010
7,006,M,White,1969,1999
7,006,M,White,1982,2008
7,006,M,Hispanic,1986,2015
7,006,M,White,1952,1985
7,006,M,White,1954,1984
7,006,M,Hispanic,1982,2016
7,006,M,Black,1960,1994
7,006,M,White,1976,2012
7,006,M,White,1968,2002
7,006,M,Black,1964,1996
7,006,M,Black,1955,1986
7,006,M,White,1956,1990
7,006,F,Black,1998,2012
7,006,M,Black,1982,2000
7,006,M,White,1956,1987
7,006,F,Black,1987,2009
7,006,F,White,1987,1990
7,006,M,Black,1989,2010
7,006,M,Black,1986,2011
7,006,F,White,2004,2014
7,006,M,Black,1994,2012
7,006,M,Black,1978,2008
7,006,F,Black,1997,2005
7,006,F,Black,1993,2011
7,006,M,Black,1977,1983
7,006,M,Black,1972,1984
7,006,M,Black,1977,2001
7,006,F,Black,1978,1985
7,006,M,Black,1978,2007
7,006,M,Black,1995,1995
7,006,M,Black,1971,1992
7,006,M,White,1972,1982
7,006,M,Black,2001,2014
7,006,M,Black,1987,2016
7,006,M,White,1986,2012
7,006,M,Black,1999,2015
7,006,M,Black,1995,2010
7,006,F,White,1983,2012
7,006,M,Black,1981,2006
7,006,M,Black,1986,2017
7,006,M,Black,1961,1992
7,006,M,Black,1968,2002
7,006,M,Black,1973,1991
7,006,M,Black,1996,2006
7,006,M,Black,1986,2011
7,006,M,Black,1986,2000
7,006,M,White,1972,1985
7,006,M,White,1959,1985
7,006,M,Black,1989,1993
7,006,M,Black,1982,1998
7,006,F,Black,1980,2006
7,006,M,Black,1987,2010
7,006,F,Black,1986,2015
7,006,M,Black,1986,2014
7,006,M,Black,1986,2012
7,006,M,White,2010,2015
7,006,M,Black,1962,1994
7,006,M,Black,1975,2009
7,006,M,Black,1994,2013
7,006,M,Black,2013,2015
7,006,M,White,2004,2009
7,006,M,Black,1962,1993
7,006,M,Black,2004,2006
7,006,M,Black,1956,1985
7,006,M,White,1968,1985
7,006,M,White,1963,1990
7,006,M,White,1946,1982
7,006,M,Black,1980,1983
7,006,M,White,1955,1989
7,006,M,Black,1955,1986
7,006,M,Black,1958,1987
7,006,M,White,1959,1984
7,006,M,White,1956,1985
7,006,M,Black,1986,2012
7,006,F,Black,1990,2013
7,006,F,Black,1990,2016
7,006,M,Black,1987,2017
7,006,F,Black,1986,2011
7,006,F,Black,2002,2011
7,006,M,Black,1995,2016
7,006,M,Black,1986,2008
7,006,M,Black,1991,2012
7,006,M,Black,1990,2016
7,006,M,Black,1985,2012
7,006,M,White,2009,2014
7,006,M,White,2008,2014
7,006,F,Black,1994,2015
7,006,M,Black,1988,2012
7,006,M,White,1999,2012
7,006,F,Black,2002,2015
7,006,M,Black,1999,2007
7,006,M,Black,2000,2007
7,006,M,Black,1991,2011
7,006,M,Asian/Pacific,2006,2010
7,006,F,Hispanic,2004,2005
7,006,F,Hispanic,2012,2015
7,006,F,White,1991,2006
7,006,M,White,1982,2003
7,006,M,Black,1988,2011
7,006,M,Black,1971,1989
7,006,M,Black,1985,2009
7,006,M,Black,1970,2008
7,006,M,Black,1988,2002
7,006,M,Black,1975,1999
7,006,M,Black,1976,1992
7,006,M,Black,1982,2004
7,006,M,White,1971,2001
7,006,F,Black,1996,2017
7,006,M,Black,1982,1993
7,006,M,White,1973,1993
7,006,M,Black,1965,1999
7,006,M,Black,1990,2001
7,006,M,White,1955,1981
7,006,F,Black,1976,1996
7,006,F,Black,1998,2007
7,006,M,White,1981,2013
7,006,F,Black,1995,2015
7,006,M,Black,1982,2005
7,006,M,Black,1982,1985
7,006,M,Asian/Pacific,2000,2017
7,006,M,Black,1954,1988
7,006,M,Black,1987,1990
7,006,M,Black,1985,2011
7,006,M,White,1958,1989
7,006,M,Black,1987,1990
7,006,M,Black,1989,2010
7,006,M,White,1967,2001
7,006,M,Black,1980,1990
7,006,M,Black,1980,2005
7,006,M,Black,1981,2002
7,006,M,Black,1977,1994
7,006,M,Black,1968,1996
7,006,M,Black,1976,2003
7,006,M,Black,1956,1987
7,006,M,White,1952,1990
7,006,M,White,1990,2016
7,006,M,White,1949,1986
7,006,M,Black,1961,1986
7,006,M,White,1962,1996
7,006,M,Black,1985,2015
7,006,F,White,1986,2007
7,006,M,Black,1982,2002
7,006,F,Black,1988,2002
7,006,F,White,1978,2007
7,006,M,Hispanic,1986,2016
7,006,M,Black,1970,1997
7,006,M,White,1973,2005
7,006,M,White,1987,2008
7,006,M,White,1993,2009
7,006,M,Black,1985,2010
7,006,M,White,1973,2011
7,006,M,Hispanic,1973,1997
7,006,M,Black,1956,1986
7,006,M,Black,1977,2011
7,006,M,Black,1995,2006
7,006,M,White,1978,2008
7,006,M,Black,1994,2007
7,006,M,Black,1956,1988
7,006,M,Black,1971,2003
7,006,M,White,1970,2008
7,006,M,White,1968,1999
7,006,M,White,1986,2008
7,006,M,Black,1973,2004
7,006,F,Black,1974,2005
7,006,M,Black,1955,1983
7,006,M,Black,1971,1994
7,006,M,Black,1961,1987
7,006,M,Black,1963,1985
7,006,M,White,1977,2010
7,006,M,White,1966,1998
7,006,M,White,1963,1995
7,006,M,Hispanic,1985,2014
7,006,F,Black,1977,2010
7,006,M,Black,1968,1996
7,006,M,Black,1957,1986
7,006,M,White,1947,1980
7,006,M,Black,1982,2009
7,006,F,White,1983,2011
7,006,M,White,1959,1989
7,006,M,White,1957,1990
7,006,M,White,1998,2019
7,006,M,Black,1962,1983
7,006,F,Black,1987,1991
7,006,M,White,1956,1984
7,006,M,Black,1973,1995
7,006,M,Black,1955,1985
7,006,M,Black,1982,1998
7,006,M,Black,1995,1998
7,006,F,White,1987,2005
7,006,M,Black,1975,1984
7,006,M,Black,1997,2000
7,006,M,Black,1998,2017
7,006,M,White,1976,2003
7,006,M,Black,1976,2000
7,006,M,Black,1976,2002
7,006,F,Black,1981,2011
7,006,M,Black,1999,2013
7,006,M,Black,1980,2004
7,006,M,Black,1975,2010
7,006,M,White,1977,1993
7,006,M,Black,1989,1998
7,006,M,Black,1991,2001
7,006,M,Black,1968,1984
7,006,M,Black,1981,1985
7,006,M,Black,1975,1997
7,006,M,Black,1990,1998
7,006,M,Black,1982,2003
7,006,F,Black,1982,1999
7,006,M,Black,1971,2006
7,006,M,Black,1962,1993
7,006,F,Black,1990,1998
7,006,M,White,1950,1984
7,006,M,Black,1990,2005
7,006,F,White,1994,2010
7,006,M,Black,1976,2004
7,006,M,White,1955,1981
7,006,M,White,1956,1983
7,006,M,White,1958,1990
7,006,M,Black,1973,1982
7,006,M,Black,1968,1985
7,006,M,White,1961,1989
7,006,M,Black,1957,1981
7,006,M,Black,1956,1984
7,006,M,White,1953,1987
7,006,M,White,2005,2012
7,006,M,Black,1962,1995
7,006,M,Black,1993,2009
7,006,F,Hispanic,2005,2009
7,006,M,Black,1988,1996
7,006,M,White,1995,1999
7,006,M,Black,1962,1996
7,006,F,White,1983,2003
7,006,M,Black,1976,2004
7,006,M,Black,1973,2003
7,006,M,Black,1982,2002
7,006,M,Black,1991,1998
7,006,F,Black,1997,2000
7,006,M,White,1968,2002
7,006,M,Black,1989,1998
7,006,M,Black,1988,2009
7,006,M,Black,1987,2012
7,006,M,Black,1975,2000
7,006,M,White,1962,1991
7,006,F,Black,1987,2000
7,006,M,Black,1985,1996
7,006,M,Black,1985,1998
7,006,M,White,1968,2005
7,006,F,Black,1993,2008
7,006,M,Black,1981,2009
7,006,F,Black,1999,2000
7,006,M,Black,1968,1992
7,006,M,White,1999,2019
7,006,M,White,1966,2000
7,006,M,Black,1991,1998
7,006,M,White,2000,2005
7,006,M,Black,1980,2005
7,006,M,White,1955,1985
7,006,M,White,1976,1986
7,006,M,White,1980,2010
7,006,F,Black,1996,1997
7,006,M,White,2001,2013
7,006,M,White,1967,1992
7,006,M,Black,1968,1983
7,006,M,White,1969,1998
7,006,M,Black,1961,1991
7,006,M,White,1962,1997
7,006,M,White,1948,1985
7,006,M,White,1965,1994
7,006,M,Black,1956,1985
7,006,M,Black,1957,1993
7,006,M,Black,1975,2002
7,006,M,White,1969,1996
7,006,F,Black,1991,2017
7,006,M,Black,1964,1997
7,006,M,White,1955,1982
7,006,M,Black,1969,2000
7,006,M,Black,1970,1989
7,006,M,White,1957,1986
7,006,M,Black,1962,1993
7,006,M,Black,1964,1995
7,006,M,Black,1968,1998
7,006,M,White,1961,1991
7,006,M,Black,1973,1984
7,006,M,White,1987,1996
7,006,M,White,1969,1983
7,006,F,White,1981,2011
7,006,M,Black,1975,1986
7,006,F,Black,1987,2012
7,006,M,White,1977,2005
7,006,M,Black,1980,2005
7,006,M,Black,1980,2010
7,006,F,White,1980,2005
7,006,M,Black,1983,2003
7,006,M,White,1964,2000
7,006,M,White,1965,2000
7,006,M,Black,1991,2017
7,006,M,Black,1985,1996
7,006,M,Black,1968,1999
7,006,M,Black,1978,1993
7,006,M,Black,1964,1998
7,006,M,Black,1973,2004
7,006,M,Hispanic,1976,1984
7,006,M,Black,1972,1985
7,006,M,Black,1988,1994
7,006,M,Black,1968,1997
7,006,M,Hispanic,2006,2008
7,006,F,Black,1985,2014
7,006,M,Black,1976,1982
7,006,M,Hispanic,2006,2018
7,006,M,White,1950,1984
7,006,F,Black,1990,2010
7,006,M,White,1969,1983
7,006,M,Black,1958,1986
7,006,M,Black,1955,1983
7,006,M,White,1970,1985
7,006,M,Black,1952,1983
7,006,M,Black,1966,1988
7,006,M,White,1957,1981
7,006,M,Black,1961,1987
7,006,M,Black,1954,1985
7,006,M,White,1966,1981
7,006,M,White,1972,1981
7,006,M,White,1973,1989
7,006,M,White,1983,1995
