id,is_male,is_white,is_police_officer,age,resignation_date,complaint_risk,civilian_allegation_risk,current_salary,major_award_count,in_district,in_district_total_population,in_district_black_proportion,in_district_allegation_count,in_district_police_population,in_district_misconduct_rate,in_district_police_white,in_district_police_female
20745,0,1,1,40,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
25407,1,0,1,48,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
6801,0,0,1,51,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
18539,0,1,0,44,,1,1,104628,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
15379,1,1,0,50,,1,2,104628,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
15856,1,1,1,36,,0,0,88296,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
28633,0,1,1,48,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
27656,1,1,1,37,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
30161,0,1,1,48,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
23713,1,1,1,38,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
27151,1,1,1,49,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
19008,0,1,1,40,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
7411,1,1,1,52,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
16032,1,0,1,48,,1,2,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
20357,1,1,1,53,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
20356,1,1,1,60,,1,1,87384,1,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
8447,1,1,0,52,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
27425,1,1,1,72,,1,1,80724,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
12622,0,0,1,45,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
11409,0,1,1,52,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
8557,0,1,1,40,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
9727,1,0,1,41,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
6010,0,1,1,51,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
28155,1,1,1,66,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
25706,1,1,1,58,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
18333,1,1,1,54,,1,2,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
6671,1,0,1,41,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
26770,1,0,1,59,,1,1,93354,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
17767,0,0,1,46,,0,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
26663,0,0,1,38,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
12864,1,0,0,37,,0,0,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
28370,1,1,1,49,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
15574,1,0,1,40,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
2557,0,1,1,39,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
4561,1,1,0,49,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
13005,1,1,0,57,,1,1,98052,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
22168,1,0,1,39,,1,1,84054,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
2535,1,1,0,49,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
4679,1,1,1,40,,0,0,80016,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
11608,1,1,1,58,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
8609,0,1,1,54,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
171,1,0,1,49,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
22251,1,0,1,52,,1,1,87006,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
29331,1,1,1,66,,1,1,96060,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
27883,1,1,1,52,,1,1,90024,0,24,165201,0.1153,9291,554,0.1014,0.7509,0.1823
